69326 - 2811.74 seconds
78786 - 3426.02 seconds - k = 100, t = 1, r = 0.999, s1 = 1000, s2 = 10000
84943 - 1415.12 seconds - k = 100, t = 1, r = 0.990, s1 = 1000, s2 = 10000

Heuristica - 3a versao

44322 - 1348.26 seconds - k = 100, t = 1, r = 0.990, s1 = 1000, s2 = 10000
43008 - 0873.50 seconds - k = 1, t = 1, r = 0.990, s1 = 1000, s2 = 10000
44353 - 1087.52 seconds - k = 10, t = 1, r = 0.990, s1 = 1000, s2 = 10000
45311 - 1078.12 seconds - k = 10, t = 1, r = 0.990, s1 = 1000, s2 = 10000
44322 - 1080.72 seconds - k = 10, t = 1, r = 0.990, s1 = 1000, s2 = 10000
50108 - 1109.00 seconds - k = 10, t = 1, r = 0.990, s1 = 1000, s2 = 10000
44972 - 860.55 seconds - k = 1, t = 1, r = 0.990, s1 = 1000, s2 = 10000
43008 - 1116.99 seconds - k = 10, t = 1, r = 0.990, s1 = 1000, s2 = 10000
51687 - 1404.53 seconds - k = 10, t = 10, r = 0.990, s1 = 1000, s2 = 10000
43008 - 1134.4 seconds  - k = 10, t = 1, r = 0.990, s1 = 1000, s2 = 10000
